title,source,content,tags
General Dog Care,ASPCA,"A dog can be a wonderful addition to any home, but whether you're an experienced pet parent or a first-time adopter, it's important to keep your canine companion's health and happiness a top priority. Below are some useful tips for all dog parents.","dog, headline"
Dog's Nutrient,ASPCA,"• Puppies eight to 12 weeks old need four meals a day.\n• Feed puppies three to six months old three meals a day.\n• Feed puppies six months to one year two meals a day.\n• When your dog reaches his first birthday, one meal a day is usually enough.\n• For some dogs, including larger canines or those prone to bloat, it's better to feed two smaller meals.\nPremium-quality dry food provides a well-balanced diet for adult dogs and may be mixed with water, broth or canned food. Your dog may enjoy cottage cheese, cooked egg or fruits and vegetables, but these additions should not total more than ten percent of his daily food intake.\nPuppies should be fed a high-quality, brand-name puppy food (large breed puppy foods for large breeds). Please limit 'people food' however, because it can result in vitamin and mineral imbalances, bone and teeth problems and may cause very picky eating habits and obesity. Clean, fresh water should be available at all times, and be sure to wash food and water dishes frequently.","dog, nutrient"
Exercise for Dog,ASPCA,"Dogs need exercise to burn calories, stimulate their minds, and stay healthy. Individual exercise needs vary based on breed or breed mix, sex, age and level of health. Exercise also tends to help dogs avoid boredom, which can lead to destructive behaviors. Supervised fun and games will satisfy many of your pet's instinctual urges to dig, herd, chew, retrieve and chase.","dog, health, exercise"
Grooming for Dog,ASPCA,"Help keep your dog clean and reduce shedding with frequent brushing. Check for fleas and ticks daily during warm weather. Most dogs don't need to be bathed more than a few times a year. Before bathing, comb or cut out all mats from the coat. Carefully rinse all soap out of the coat, or the dirt will stick to soap residue. ","dog, health, grooming"
Handling a Dog,ASPCA,"To carry a puppy or small dog, place one hand under the dog's chest, with either your forearm or other hand supporting the hind legs and rump. Never attempt to lift or grab your puppy or small dog by the forelegs, tail or back of the neck. If you do have to lift a large dog, lift from the underside, supporting his chest with one arm and his rear end with the other.","dog, handling, general"
Housing for Dog,ASPCA,"Your pet needs a warm, quiet place to rest, away from all drafts and off the floor. A training crate or dog bed is ideal, with a clean blanket or pillow placed inside. Wash the dog's bedding often. If your dog will be spending a lot of time outdoors, be sure she has access to shade and plenty of cool water in hot weather, and a warm, dry, covered shelter when it's cold.","dog, shelter"
Dog's Licensing and Identification,ASPCA,"Follow your community’s licensing regulations. Be sure to attach the license to your dog’s collar. This, along with an ID tag and implanted microchip or tattoo, can help secure your dog’s return should she become lost.","dog, general"
Dog's Fleas and Ticks,ASPCA,Daily inspections of your dog for fleas and ticks during the warm seasons are important. Use a flea comb to find and remove fleas. There are several new methods of flea and tick control. Speak to your veterinarian about these and other options.,"dog, health, general"
Medicines and Poisons in Dog,ASPCA,"Never give your dog medication that has not been prescribed by a veterinarian. If you suspect that your animal has ingested a poisonous substance, call your veterinarian","dog, health, general"
Spaying and Neutering for Dog,ASPCA,"Female dogs should be spayed, and male dogs neutered by six months of age.","dog, health, general"
