title,source,content,tags,image Urls
General Dog Care,ASPCA,"A dog can be a wonderful addition to any home, but whether you're an experienced pet parent or a first-time adopter, it's important to keep your canine companion's health and happiness a top priority. Below are some useful tips for all dog parents.","dog, headline",https://firebasestorage.googleapis.com/v0/b/pet-support-website.appspot.com/o/dog1.png?alt=media&token=c524e6c5-ef7d-4347-b4fc-66d002914da2
Dog's Nutrient,ASPCA,"• Puppies eight to 12 weeks old need four meals a day.%&07%• Feed puppies three to six months old three meals a day.%&07%• Feed puppies six months to one year two meals a day.%&07%• When your dog reaches his first birthday, one meal a day is usually enough.%&07%• For some dogs, including larger canines or those prone to bloat, it's better to feed two smaller meals.%&07%Premium-quality dry food provides a well-balanced diet for adult dogs and may be mixed with water, broth or canned food. Your dog may enjoy cottage cheese, cooked egg or fruits and vegetables, but these additions should not total more than ten percent of his daily food intake.%&07%Puppies should be fed a high-quality, brand-name puppy food (large breed puppy foods for large breeds). Please limit 'people food' however, because it can result in vitamin and mineral imbalances, bone and teeth problems and may cause very picky eating habits and obesity. Clean, fresh water should be available at all times, and be sure to wash food and water dishes frequently.","dog, nutrient",https://firebasestorage.googleapis.com/v0/b/pet-support-website.appspot.com/o/dog2.png?alt=media&token=ec137f0b-aeed-4d4b-831a-6663659a0a82
Exercise for Dog,ASPCA,"Dogs need exercise to burn calories, stimulate their minds, and stay healthy. Individual exercise needs vary based on breed or breed mix, sex, age and level of health. Exercise also tends to help dogs avoid boredom, which can lead to destructive behaviors. Supervised fun and games will satisfy many of your pet's instinctual urges to dig, herd, chew, retrieve and chase.","dog, health, exercise",https://firebasestorage.googleapis.com/v0/b/pet-support-website.appspot.com/o/dog3.png?alt=media&token=0efb2396-4121-417c-9b8b-5e87e42ba03a
Grooming for Dog,ASPCA,"Help keep your dog clean and reduce shedding with frequent brushing. Check for fleas and ticks daily during warm weather. Most dogs don't need to be bathed more than a few times a year. Before bathing, comb or cut out all mats from the coat. Carefully rinse all soap out of the coat, or the dirt will stick to soap residue. ","dog, general, grooming",https://firebasestorage.googleapis.com/v0/b/pet-support-website.appspot.com/o/dog4.png?alt=media&token=8d5ece15-79e9-4954-8d5f-dc8f4e2485eb
Handling a Dog,ASPCA,"To carry a puppy or small dog, place one hand under the dog's chest, with either your forearm or other hand supporting the hind legs and rump. Never attempt to lift or grab your puppy or small dog by the forelegs, tail or back of the neck. If you do have to lift a large dog, lift from the underside, supporting his chest with one arm and his rear end with the other.","dog, handling, general",https://firebasestorage.googleapis.com/v0/b/pet-support-website.appspot.com/o/dog5.png?alt=media&token=70051664-554f-4b3d-b035-e5c84214a66b
Housing for dog,ASPCA,"Your pet needs a warm, quiet place to rest, away from all drafts and off the floor. A training crate or dog bed is ideal, with a clean blanket or pillow placed inside. Wash the dog's bedding often. If your dog will be spending a lot of time outdoors, be sure she has access to shade and plenty of cool water in hot weather, and a warm, dry, covered shelter when it's cold.","dog, shelter",https://firebasestorage.googleapis.com/v0/b/pet-support-website.appspot.com/o/dog6.png?alt=media&token=eee330fd-5284-433e-985e-a5f549be7d92
Dog's Licensing and Identification,ASPCA,"Follow your community’s licensing regulations. Be sure to attach the license to your dog’s collar. This, along with an ID tag and implanted microchip or tattoo, can help secure your dog’s return should she become lost.","dog,  general",https://firebasestorage.googleapis.com/v0/b/pet-support-website.appspot.com/o/dog7.png?alt=media&token=364f9204-e099-4197-9615-ffccd69ff0a4
Dog's Health,ASPCA,"Fleas and Ticks%&07%Daily inspections of your dog for fleas and ticks during the warm seasons are important. Use a flea comb to find and remove fleas. There are several new methods of flea and tick control. Speak to your veterinarian about these and other options.%&07%Medicines and Poisons%&07%Never give your dog medication that has not been prescribed by a veterinarian. If you suspect that your animal has ingested a poisonous substance, call your veterinarian or the ASPCA Animal Poison Control Center for 24-hour animal poison information at (888) 426- 4435.%&07%Spaying and Neutering%&07%Female dogs should be spayed, and male dogs neutered by six months of age.%&07%Vaccinations%&07%Understanding Vaccines%&07%Vaccines help prepare the body's immune system to fight the invasion of disease-causing organisms. Vaccines contain antigens, which look like the disease-causing organism to the immune system but don't actually cause disease. When the vaccine is introduced to the body, the immune system is mildly stimulated. If a pet is ever exposed to the real disease, his immune system is now prepared to recognize and fight it off entirely or reduce the severity of the illness.%&07%Core Vaccines%&07%Core vaccines are considered vital to all pets based on risk of exposure, severity of disease or transmissibility to humans.%&07%Vaccines for canine parvovirus, distemper, canine hepatitis and rabies are considered core vaccines. Non-core vaccines are given depending on the dog’s exposure risk. These include vaccines against Bordetella bronchiseptica, Borrelia burgdorferi and Leptospira bacteria.%&07%Determining the Timing and Frequency of Vaccinations%&07%Your veterinarian can best determine a vaccination schedule for your pet. This will depend on the type of vaccine, your pet’s age, medical history, environment and lifestyle.%&07%For puppies: If his mother has a healthy immune system, a puppy will most likely receive antibodies in mother’s milk while nursing. Puppies should receive a series of vaccinations starting at six to eight weeks of age. A veterinarian should administer a minimum of three vaccinations at three- to four-week intervals. The final dose should be administered at 16 weeks of age.%&07%For adult dogs: Some adult dogs might receive certain vaccines annually, while other vaccines might be given every three years or longer.%&07%Risks Associated with Vaccination%&07%Immunizations should mildly stimulate the animal’s immune system in order to create protection from specific infectious diseases. This stimulation can create mild symptoms, ranging from soreness at the injection site to fever and allergic reactions.%&07%The Scoop on Poop%&07%Keep your dog on a leash when you are outside, unless you are in a secure, fenced-in area. If your dog defecates on a neighbor's lawn, the sidewalk, or any other public place, please clean it up.","dog, general, health, vaccination, littering",https://firebasestorage.googleapis.com/v0/b/pet-support-website.appspot.com/o/dog8.png?alt=media&token=8c927138-231e-4490-adcd-b84e396e2130
Dog Supply Checklist,ASPCA,"•Premium-quality dog food and treats%&07%•Food dish%&07%•Water bowl%&07%•Toys, toys and more toys, including safe chew toys%&07%•Brush & comb for grooming, including flea comb%&07%•Collar with license and ID tag%&07%•Leash%&07%•Carrier (for smaller dogs)%&07%•Training crate%&07%•Dog bed or box with warm blanket or towel%&07%•Dog toothbrush","dog, supply, general",https://firebasestorage.googleapis.com/v0/b/pet-support-website.appspot.com/o/dog12.png?alt=media&token=b18b153a-2f07-4c8d-8e4e-fdf557ab4bfa
Aggression,ASPCA,"Aggression is the most common and most serious behavior problem in dogs. It’s also the number-one reason why pet parents seek professional help from behaviorists, trainers and veterinarians.%&07%What Is Aggression?%&07%The term “aggression” refers to a wide variety of behaviors that occur for a multitude of reasons in various circumstances. Virtually all wild animals are aggressive when guarding their territories, defending their offspring and protecting themselves. Species that live in groups, including people and dogs, also use aggression and the threat of aggression to keep the peace and to negotiate social interactions.%&07%To say that a dog is “aggressive” can mean a whole host of things. Aggression encompasses a range of behaviors that usually begins with warnings and can culminate in an attack. Dogs may abort their efforts at any point during an aggressive encounter. A dog that shows aggression to people usually exhibits some part of the following sequence of increasingly intense behaviors:%&07%• Becoming very still and rigid%&07%• Guttural bark that sounds threatening%&07%• Lunging forward or charging at the person with no contact%&07%• Mouthing, as though to move or control the person, without applying significant pressure%&07%• “Muzzle punch” (the dog literally punches the person with her nose)%&07%• Growl%&07%• Showing teeth%&07%• Snarl (a combination of growling and showing teeth)%&07%• Snap%&07%• Quick nip that leaves no mark%&07%• Quick bite that tears the skin%&07%• Bite with enough pressure to cause a bruise%&07%• Bite that causes puncture wounds%&07%• Repeated bites in rapid succession%&07%• Bite and shake%&07%Dogs don’t always follow this sequence, and they often do several of the behaviors above simultaneously. Many times, pet parents don’t recognize the warning signs before a bite, so they perceive their dogs as suddenly flying off the handle. However, that’s rarely the case. It can be just milliseconds between a warning and a bite, but dogs rarely bite without giving some type of warning beforehand.%&07%Classification of Aggressive Behavior%&07%If your dog has been aggressive in the past or you suspect she could become aggressive, take time to evaluate the situations that have upset her. Who bore the brunt of her aggression? When and where did it happen? What else was going on at the time? What had just happened or was about to happen to your dog? What seemed to stop her aggression? Learning the answers to these questions can clarify the circumstances that trigger your dog’s aggressive reaction and provide insight into the reasons for her behavior. You need an accurate diagnosis before you can hope to help your dog.%&07%Aggressive behavior problems in dogs can be classified in different ways. A beneficial scheme for understanding why your dog is aggressive is based on the function or purpose of the aggression. If you think of aggression this way, you can determine what motivates your dog to behave aggressively and identify what she hopes to gain from her behavior.%&07%Territorial Aggression%&07%Some dogs will attack and bite an intruder, whether the intruder is friend or foe.%&07%Dogs’ wild relatives are territorial. They live in certain area, and they defend this area from intruders. Wolves are highly territorial. If a coyote or a wolf who’s not part of a pack invades their territory, the resident wolves will attack and drive off the intruder. Some dogs display the same tendencies. They bark and charge at people or other animals encroaching on their home turf. Dogs are often valued for this level of territorial behavior. However, some dogs will attack and bite an intruder, whether the intruder is friend or foe. Territorial aggression can occur along the boundary regularly patrolled by a dog or at the boundaries of her pet parents’ property. Other dogs show territorial aggression only toward people or other animals coming into the home. Male and female dogs are equally prone to territorial aggression. Puppies are rarely territorial. Territorial behavior usually appears as puppies mature into adolescence or adulthood, at one to three years of age.%&07%Protective Aggression%&07%Dogs may show aggressive behavior when they think that one of their family members or friends is in peril.%&07%Dogs are a social species. If they were left on their own, they would live together in small groups, or packs, of family and friends. If one member of a pack is in danger, the others typically rush in to help defend that individual. This is classified as protective aggression because the dogs are protecting one of their own. Pet dogs may show the same type of aggressive behavior when they think that one of their family members or friends (human or animal) is in peril. Sometimes dogs reserve protective aggression for individuals they consider particularly vulnerable. A dog who has never shown aggression to strangers in the past might start behaving aggressively when she has a litter of puppies. Likewise, a dog might first show protective aggression when her pet parents bring a human child into the family. While this behavior sounds appealing at first glance, problems arise when the protective dog starts to treat everyone outside the family, including friends and relatives, as threats to the baby’s safety. Both male and female dogs are equally prone to protective aggression. Puppies are rarely protective. Like territorial behavior, protective aggression usually appears as puppies mature into adolescence or adulthood, at one to three years of age.%&07%Possessive Aggression%&07%Many dogs show the tendency to guard their possessions from others, whether they need to or not.%&07%Dogs evolved from wild ancestors who had to compete for food, nesting sites and mates to survive. Even though our pet dogs no longer face such harsh realities, many still show the tendency to guard their possessions from others, whether they need to or not. Some dogs only care about their food. These dogs might react aggressively when a person or another animal comes near their food bowl or approaches them while they’re eating. Other dogs guard their chew bones, their toys or things they’ve stolen. Still others guard their favorite resting spots, their crates or their beds (Often, these dogs also guard their pet parents’ beds!). Less common are dogs who guard water bowls. Usually a possessive dog is easy to identify because she’s only aggressive when she has something she covets. But some dogs will hide their cherished things around the house and guard them from unsuspecting people or animals who have no idea that they’re anywhere near a valued object. Male and female dogs are equally prone to possessive aggression, and this type of aggression is common in both puppies and adults. For more detailed information about food-related possessive aggression and how to treat it, please see our article, Food Guarding.%&07%Fear Aggression%&07%A fearful dog may become aggressive if cornered or trapped.%&07%When animals and people are afraid of something, they prefer to get away from that thing. This is called the flight response. But if escaping isn’t an option, most animals will switch to a fight response. They try to defend themselves from the scary thing. So a dog can be afraid of a person or another animal but still attack if she thinks this is her only recourse. A fearful dog will normally adopt fearful postures and retreat, but she may become aggressive if cornered or trapped. Some dogs will cower at the prospect of physical punishment but attack when a threatening personapproaches. Fear aggression can occur when a dog is exposed to a fearful or traumatic event or when she lacks proper socialization and confidence. Fear aggression can be directed towards people, other animals, or specific situations. It is important to note that fear aggression is rooted in fear and anxiety, and punishing or forcing the dog will only exacerbate the problem. Fear aggression can occur in dogs of any age or sex, and early intervention is crucial to prevent the behavior from worsening.%&07%Defensive Aggression%&07%Defensive aggression occurs when a dog perceives a threat and responds with aggression to protect herself.%&07%Defensive aggression is similar to fear aggression but is more specific to situations where a dog feels the need to defend herself. It can be triggered by perceived threats such as unfamiliar people or animals approaching too quickly or invading the dog's personal space. Defensive aggression is a reactive behavior intended to ward off potential harm. Dogs exhibiting defensive aggression may display warning signs such as growling, showing teeth, and snapping to create distance and prevent further escalation. Defensive aggression can occur in dogs of all ages and both sexes, and proper socialization and positive experiences can help prevent or manage this behavior.%&07%Social Aggression%&07%Some dogs show aggression towards other dogs or animals when it comes to resources, territory, or social hierarchy.%&07%Social aggression in dogs refers to aggressive behavior displayed towards other dogs or animals in social interactions. It can occur in various contexts such as resource guarding (food, toys, attention), competition for territory or mates, or establishing social hierarchy within a group. Social aggression can be seen in both male and female dogs and can range from mild displays of dominance to more intense fights. Proper socialization and training from an early age can help minimize social aggression in dogs.%&07%Frustration-Elicited Aggression%&07%Frustration can lead to aggressive behavior in dogs when they are unable to obtain or accomplish what they desire.%&07%Frustration-elicited aggression occurs when a dog becomes frustrated because she is unable to obtain or accomplish something she desires. This frustration can stem from barriers preventing access to desired objects, lack of opportunity for physical exercise or mental stimulation, or thwarted social interactions. Frustration can escalate into aggression if the dog has not learned alternative coping mechanisms or if the frustration is consistently reinforced. It's important to provide appropriate outlets for a dog's energy, mental stimulation, and teach alternative behaviors to prevent frustration-elicited aggression.%&07%Redirected Aggression%&07%Redirected aggression occurs when a dog redirects her aggression onto a different target, often due to frustration or arousal.%&07%Redirected aggression happens when a dog is aroused or frustrated by a particular stimulus but is unable to direct her aggression towards it. As a result, the dog redirects her aggression onto another target that may be nearby, such as another dog or a person. This behavior is not specifically targeted at the redirected target but is a result of the dog's heightened emotional state. Proper management and avoidance of situations that trigger the aggression can help prevent redirected aggression.%&07%Pain-Elicited Aggression%&07%Dogs in pain may exhibit aggression as a defensive response to protect themselves from further discomfort.%&07%Pain-elicited aggression occurs when a dog is in pain or discomfort and exhibits aggressive behavior as a defensive response. When a dog is in pain, she may perceive touch, handling, or certain movements as a threat to her well-being, causing her to respond aggressively to protect herself. It's essential to address any underlying medical conditions and ensure the dog receives appropriate pain management to alleviate pain-induced aggression.%&07%Sex-Related Aggression%&07%Sex-related aggression can occur due to hormonal influences and is often seen in intact male dogs.%&07%Sex-related aggression is primarily seen in intact (not neutered) male dogs and can be influenced by hormonal factors. This type of aggression is typically directed towards other male dogs and is often related to competition for mates or territory. Neutering can help reduce the incidence of sex-related aggression in male dogs.%&07%Predatory Aggression%&07%Some dogs may exhibit predatory aggression towards smaller animals or objects that trigger their prey drive.%&07%Predatory aggression is seen in some dogs when their natural prey drive is triggered by smaller animals or objects that resemble prey. Dogs with predatory aggression may exhibit stalking, chasing, and grabbing behaviors. It is important to prevent dogs with predatory aggression from having access to potential prey animals and to provide alternative outlets for their predatory instincts, such as interactive toys or games.%&07%Can Aggression be Cured?%&07%While it is possible to reduce or manage aggressive behavior in dogs through behavior modification techniques, it's important to note that complete elimination of aggression cannot be guaranteed. Aggression is a complex behavior influenced by various factors, including genetics, early experiences, socialization, and individual temperament. The goal of treatment is to minimize the occurrence and intensity of aggressive episodes, ensure the safety of all individuals involved, and improve the dog's overall quality of life. It is recommended to work with a qualified professional, such as a certified animal behaviorist or a positive reinforcement-based trainer, who can assess the dog's specific situation and design a customized behavior modification plan. Additionally, ruling out any underlying medical conditions or pain-related issues is crucial, and consulting with a veterinarian is highly recommended.%&07%Remember that each dog is unique, and the treatment approach should be tailored to the individual dog's needs. Ongoing management, supervision, and implementing safety precautions are essential to prevent aggressive incidents and ensure the well-being of everyone involved. It is important not to generalize aggression based on breed but to consider each dog's temperament, history, and specific circumstances to develop an appropriate treatment plan.","dog, aggression, behavior issues",https://firebasestorage.googleapis.com/v0/b/pet-support-website.appspot.com/o/dog14.png?alt=media&token=9c99810c-b542-4f67-a16b-d5a2d489204f
